round	clue_value	daily_double_value	category	comments	answer	question	air_date	notes
1	200	0	THE OLD TESTAMENT		Let's all flock to read Psalm 95, in which humans are compared to these animals	sheep	2004-09-06	
1	400	0	THE OLD TESTAMENT		Some say the screech owl in the King James Bible is Lilith, the name given his legendary first wife	Adam	2004-09-06	
1	600	0	THE OLD TESTAMENT		Hagar, carrying this man's baby, fled into the desert after harsh treatment from his wife	Abraham	2004-09-06	
1	800	0	THE OLD TESTAMENT		According to his Old Testament book, this "swords into plowshares" prophet walked naked for 3 years	Isaiah	2004-09-06	
1	1000	0	THE OLD TESTAMENT		In Genesis, Joseph is imprisoned after accusations by the wife of this Egyptian	Potiphar	2004-09-06	
1	200	0	SEAN SONG		The rap on him is he's sometimes "Puffy\"	(Sean) Combs	2004-09-06	
1	400	0	SEAN SONG		Once married to Madonna	Sean Penn	2004-09-06	
1	600	0	SEAN SONG		He won an Oscar for "The Untouchables\"	(Sean) Connery	2004-09-06	
1	800	0	SEAN SONG		Yoko's boy	Sean Lennon	2004-09-06	
1	1000	0	SEAN SONG		Android hottie in "Blade Runner\"	Sean Young	2004-09-06	
1	200	0	CITY WALK		In the 1980s this city passed Chicago as the USA's second most populous	Los Angeles	2004-09-06	
1	400	0	CITY WALK		This London borough is the G in GMT, squire	Greenwich	2004-09-06	
1	600	0	CITY WALK		Thomas Alsgaard won the 15-kilometer cross-country ski event at the 1998 Winter Olympics in this Japanese city	Nagano	2004-09-06	
1	800	0	CITY WALK		The Dalai Lama's former residence, the Potala Palace, overlooks this city	Lhasa	2004-09-06	
1	1000	0	CITY WALK		Founded by Ram Das, this city in Punjab state is home to the Golden Temple, the center of Sikh faith	Amritsar	2004-09-06	
1	200	0	SLOGANEERING		\"Ask any mermaid you happen to see, 'What's the best tuna?'", this brand	Chicken of the Sea	2004-09-06	
1	400	0	SLOGANEERING		A fast food chain: "If it doesn't get all over the place, it doesn't belong in your face\"	Carl's Jr.	2004-09-06	
1	600	0	SLOGANEERING		\"Pardon me, but do you have any" of this fancy mustard?	Grey Poupon	2004-09-06	
1	800	0	SLOGANEERING		\"Kiss a little longer" with this gum	Big Red	2004-09-06	
1	1000	0	SLOGANEERING		The slogan of this Johnson & Johnson product was "Have you had your sprinkle today?\"	Shower to Shower	2004-09-06	
1	200	0	ROOM		Many people have become familiar with Shape, Ski & Savoy, which are these, in doctors' waiting rooms	magazines	2004-09-06	
1	400	0	ROOM		(Cheryl of the Clue Crew reports from the Briefing Room at the White House.) The White House briefing room floor covers a swimming pool that was installed for this man in 1933	FDR	2004-09-06	
1	600	4000	ROOM		The Titanic had 3 rooms for this—only men were allowed there, as women weren't supposed to do it in public	smoking	2004-09-06	
1	800	0	ROOM		Officially released in 1975, much-bootlegged tapes of Dylan & The Band were named for this space	the basement	2004-09-06	
1	1000	0	ROOM		Decorating experts, & the film "The Big Lebowski", advise that the right one of these really ties a room together	a rug	2004-09-06	
1	200	0	\"BOARD\"		In 2003 Roy E. Disney left it after being on it since 1967	the Disney board of directors	2004-09-06	
1	400	0	\"BOARD\"		It's where Bart Simpson is often found in the opening of "The Simpsons\"	his skateboard (or the blackboard)	2004-09-06	
1	600	0	\"BOARD\"		At this time we'd like to do this for our first-class passengers & those traveling with small children	pre-board	2004-09-06	
1	800	0	\"BOARD\"		A structural material named for its small wood fragments pressed together & bonded	particle board	2004-09-06	
1	1000	0	\"BOARD\"		(Jimmy of the Clue Crew reads from the Cirque du Soleil.) When used by acrobats, this structure isn't called a seesaw, but this	a teeterboard	2004-09-06	
2	400	0	WORLD HISTORY		Toledo military academy class of 1910 grad who went on to become a dictator	Francisco Franco	2004-09-06	
2	800	0	WORLD HISTORY		Mindon, as emperor of this country, set up a new capital in 1857 at Mandalay	Burma	2004-09-06	
2	1200	4800	WORLD HISTORY		His 5 classics were canonized during the Han Dynasty	Confucius	2004-09-06	
2	1600	0	WORLD HISTORY		Edmund "Crouchback" founded this branch of the Plantagenets that didn't get on well with the Yorks	the Lancasters	2004-09-06	
2	2000	0	WORLD HISTORY		In 1825 the Decembrists attempted a coup in this country—didn't work	Russia	2004-09-06	
2	400	0	SPIRITED CINEMA		Nicole Kidman finds a photo book containing a postmortem image of her current housekeeper in this chiller	The Others	2004-09-06	
2	800	0	SPIRITED CINEMA		This actor played a medium hired to investigate the Everest of haunted houses in "Legend of Hell House\"	Roddy McDowall	2004-09-06	
2	1200	5000	SPIRITED CINEMA		David's haunted by the decomposing corpse of his friend Jack after being attacked on the British moors in this 1981 film	An American Werewolf in London	2004-09-06	
2	1600	0	SPIRITED CINEMA		In "The Gift" this Aussie actress plays a psychic who gets some much needed help from her former client	Cate Blanchett	2004-09-06	
2	2000	0	SPIRITED CINEMA		Rex Harrison is a curmudgeonly sea captain's ghost haunting Gene Tierney's cottage in this 1947 classic	The Ghost and Mrs. Muir	2004-09-06	
2	400	0	TRANSPORTATION		After turning the key, it's the final action with which you start a Yamaha YZ426F 4-stroke motorcycle	kick	2004-09-06	
2	800	0	TRANSPORTATION		The Champlain & St. Lawrence RR opened in 1836 powered by this, but soon became Canada's first powered by steam	horses	2004-09-06	
2	1600	0	TRANSPORTATION		The U.S. company Trek makes Lance Armstrong's bikes from a composite of this often-compounded element	carbon	2004-09-06	
2	2000	0	TRANSPORTATION		In 1980 you could haul brie in the Renault sold in the U.S. under this half-French name	Le Car	2004-09-06	
2	400	0	FISH, BIRD OR MAMMAL		The tapir	a mammal	2004-09-06	
2	800	0	FISH, BIRD OR MAMMAL		The lamprey	a fish	2004-09-06	
2	1200	0	FISH, BIRD OR MAMMAL		The coelacanth	a fish	2004-09-06	
2	1600	0	FISH, BIRD OR MAMMAL		The ptarmigan	a bird	2004-09-06	
2	2000	0	FISH, BIRD OR MAMMAL		The colobus	a mammal	2004-09-06	
