round	clue_value	daily_double_value	category	comments	answer	question	air_date	notes
1	100	0	TRANSPORTATION		These flat-bottomed boats were specially designed to travel down early canals	barges	1991-09-02	
1	200	0	TRANSPORTATION		In case you have to leave the oasis in a hurry, this is the faster of the 2 types of camel	dromedary	1991-09-02	
1	300	0	TRANSPORTATION		The Academic American Ency. calls this vehicle the main means of transportation in China	bicycle	1991-09-02	
1	400	0	TRANSPORTATION		This company apologized after it found out the cars stomped by a monster truck in its TV ad were altered	Volvo	1991-09-02	
1	500	0	TRANSPORTATION		Add one more of these to a catamaran & you have a trimaran	hull	1991-09-02	
1	100	0	MYTHOLOGY		The Norse goddess Freya had the unusual habit of weeping tears of this precious metal	gold	1991-09-02	
1	200	0	MYTHOLOGY		The name of this netherworld river is Greek for "hateful\"	Styx	1991-09-02	
1	300	0	MYTHOLOGY		Stargazers should know these 7 sisters are the daughters of Pleione, an ocean nymph	Pleiades	1991-09-02	
1	400	0	MYTHOLOGY		In some accounts, these goat-men are the sons of Hermes & a naiad	satyr	1991-09-02	
1	500	0	MYTHOLOGY		This Greek sea god was sometimes called "Earth-shaker\"	Poseidon	1991-09-02	
1	100	0	SPORTS		Henry VIII's court for this racquet sport is still used at Hampton Court Palace	Tennis	1991-09-02	
1	200	0	SPORTS		Squaw Valley, Calif. & Lake Placid, N.Y. are the 2 U.S. sites that have hosted these games	Winter Olympic Games	1991-09-02	
1	300	0	SPORTS		This former heavyweight boxing champ's last bout was a 1981 loss to Trevor Berbick	Muhammad Ali	1991-09-02	
1	400	0	SPORTS		This New York Knicks center was NBA rookie of the year for 1985-86	Patrick Ewing	1991-09-02	
1	100	0	JAZZ		His nickname was a contraction of "satchel mouth\"	Louis Armstrong	1991-09-02	
1	200	0	JAZZ		Part of his name appears in the titles of his albums "Milestones" & "Miles Ahead\"	Miles Davis	1991-09-02	
1	300	0	JAZZ		It's the title of Billie Holiday's autobiography & the Diana Ross film about her	Lady Sings the Blues	1991-09-02	
1	400	500	JAZZ		This bandleader's theme song was "Take the 'A' Train\"	Duke Ellington	1991-09-02	
1	500	0	JAZZ		He recorded "Fathers & Sons" with his father Ellis & brother Branford	Wynton Marsalis	1991-09-02	
1	100	0	ODDS & ENDS		In the phrase "prep school", prep is an abbreviation for this	preparatory	1991-09-02	
1	200	0	ODDS & ENDS		Ralph Waldo Emerson wrote, "Men are what" these relatives "made them\"	mothers	1991-09-02	
1	300	0	ODDS & ENDS		In the folklore of this religion, Dybbuks are evil spirits who can take possession of the living	Hebrew religion (Judaism)	1991-09-02	
1	400	0	ODDS & ENDS		Mr. Wizard said his all-time favorite experiment is getting one of these into a milk bottle	hard-boiled egg	1991-09-02	
1	500	0	ODDS & ENDS		Appropriately, it's the national rose of Syria	Damask rose	1991-09-02	
1	100	0	SERVING SUGGESTIONS		Baked oysters are sometimes served on a bed of the "rock" type of this seasoning	salt	1991-09-02	
1	200	0	SERVING SUGGESTIONS		Spring-operated tongs are often used to hold the shells of these garden gastropods	snails	1991-09-02	
1	300	0	SERVING SUGGESTIONS		Cocktail sausages wrapped in dough & baked are called "pigs in" these	blankets	1991-09-02	
1	400	0	SERVING SUGGESTIONS		Chimichangas are often topped with this avocado mixture	guacamole	1991-09-02	
1	500	0	SERVING SUGGESTIONS		Some people serve the Liptauer type of this with beer, other prefer it with white wine	cheese	1991-09-02	
2	200	0	PEOPLE IN HISTORY		This king married Germaine de Foix, niece of Louis XII, after the death of Isabella	Ferdinand of Aragon	1991-09-02	
2	400	0	PEOPLE IN HISTORY		In the 1890s this great French actress bought a Paris theatre & renamed it for herself	(Sarah) Bernhardt	1991-09-02	
2	600	0	PEOPLE IN HISTORY		King David II of this country, who spent 18 years in exile & in prison, was Robert the Bruce's son	Scotland	1991-09-02	
2	800	0	PEOPLE IN HISTORY		Gandhi lived in this country during the Boer War & served the British as a medical volunteer	South Africa	1991-09-02	
2	1000	0	PEOPLE IN HISTORY		This notorious daughter of a pope married Giovanni Sforza, Lord of Pesaro, in 1493	Lucretia Borgia	1991-09-02	
2	200	0	CONTEMPORARY BOOKS		Jackie Collins wrote "The World is Full of Divorced Women" & "The World is Full of" these "Men\"	Married	1991-09-02	
2	400	0	CONTEMPORARY BOOKS		In "Scruples", Scruples is a chic boutique on this chic Beverly Hills shopping street	Rodeo Drive	1991-09-02	
2	600	0	CONTEMPORARY BOOKS		\"Tucker's Last Stand" is yet another Blackford Oakes novel by this eminent conservative	(William F.) Buckley	1991-09-02	
2	800	1000	CONTEMPORARY BOOKS		\"The Fatal Shore" is a nonfiction account of the convict settlement of this country	Australia	1991-09-02	
2	1000	0	CONTEMPORARY BOOKS		V.S. Naipaul's 1990 travel book about this country is subtitled "A Million Mutinies Now\"	India	1991-09-02	
2	200	0	FOREIGN WORDS & PHRASES		It's Italian for a "master" conductor or composer	maestro	1991-09-02	
2	400	0	FOREIGN WORDS & PHRASES		It's Sanskrit for a word or phrase that's repeated during meditation	mantra	1991-09-02	
2	600	0	FOREIGN WORDS & PHRASES		Spanish for "watchmen", it's now a self-appointed champion of law & order	vigilante	1991-09-02	
2	800	0	FOREIGN WORDS & PHRASES		They're the German equivalent of "Mr." & "Mrs.\"	herr & frau	1991-09-02	
2	1000	0	FOREIGN WORDS & PHRASES		Louisiana Creole word for a small gift given by a shopkeeper to show appreciation	lagniappe	1991-09-02	
2	200	0	PHILOSOPHY		An agnostic is waiting for proof of this one way or the other before taking sides	existence of God	1991-09-02	
2	400	0	PHILOSOPHY		20th c. British philosopher, mathematician & Earl who said knowledge came only from sense	Bertrand Russell	1991-09-02	
2	600	1300	PHILOSOPHY		The earliest Greek philosophers are known as "Pre-" this man known for his method	Socrates	1991-09-02	
2	800	0	PHILOSOPHY		American philosopher born in Spain in 1863, he's known for his 1905-06 work, "The Life of Reason\"	George Santayana	1991-09-02	
2	1000	0	PHILOSOPHY		Most of the philosophers of the French Enlightenment contributed to his "Encyclopedie\"	(Denis) Diderot	1991-09-02	
2	200	0	PLAYS		Joe, the prizefighter hero of "Golden Boy", has this "Napoleonic" last name	Bonaparte	1991-09-02	
2	400	0	PLAYS		Glenn Close was nominated for a 1980 Tony when she played the wife of this great showman in a musical	(P.T.) Barnum	1991-09-02	
2	600	0	PLAYS		Act 3, Scene 1 of John Osborne's play about this man takes place at the Diet of Worms in 1521	Luther	1991-09-02	
2	800	0	PLAYS		Mark van Doren's play about "The Last Days of" this president opens in William Peterson's house	Lincoln	1991-09-02	
2	1000	0	PLAYS		In Act II of this Chekhov play, Treplev enters carrying a dead bird	The Seagull	1991-09-02	
2	200	0	\"PORT" CITIES		This Maine city is the closest major U.S. harbor to Europe	Portland	1991-09-02	
2	400	0	\"PORT" CITIES		This Haitian capital's national museum has the anchor of Columbus' Santa Maria on display	Port-au-Prince	1991-09-02	
2	600	0	\"PORT" CITIES		This capital of Trinidad & Tobago was founded in 1595 & named Puerto de Espana	Port of Spain	1991-09-02	
2	800	0	\"PORT" CITIES		This Egyptian city was founded in 1859 as a camp for Suez Canal workers	Port Said	1991-09-02	
2	1000	0	\"PORT" CITIES		Each October this Texas city has its Cavoilcade, a salute to the petroleum industry	Port Arthur	1991-09-02	
3	0	0	POETRY		Robert Browning's poem about him contains the line "Rats! They fought the dogs and killed the cats\"	Pied Piper (of Hamelin)	1991-09-02	
1	100	0	FAMOUS NAMES		Alice Frazier made front pages when she hugged this queen who was on a state visit in May 1991	Queen Elizabeth	1991-09-03	
1	200	0	FAMOUS NAMES		Alfred Gerald Caplin shortened his name a "Li'l" to this	Al Capp	1991-09-03	
1	300	0	FAMOUS NAMES		This son-in-law of Leopold I of Belgium was emperor of Mexico from 1864-67	Maximilian	1991-09-03	
1	400	0	FAMOUS NAMES		Last name of genetic engineer Frederick or birth control pioneer Margaret	Sanger	1991-09-03	
1	500	800	FAMOUS NAMES		Besides his "law" on work & alloted time he also said, "Expenditure rises to meet income\"	Parkinson	1991-09-03	
1	100	0	ROCKS AND MINERALS		This rock is a huge limestone mass that occupies most of a British dependency	Rock of Gibraltar	1991-09-03	
1	200	0	ROCKS AND MINERALS		Meerschaum is used chiefly to make the bowls of these	pipes	1991-09-03	
1	300	0	ROCKS AND MINERALS		If you have a "grain" of sense you know that brownstone is a type of this stone	sandstone	1991-09-03	
1	400	0	ROCKS AND MINERALS		Speleothems are oddly-shaped rock formations found in these	caves	1991-09-03	
1	500	0	ROCKS AND MINERALS		Malachite, which is used as an ornamental stone, is this color	green	1991-09-03	
1	100	0	SAINTS		Martin I, who died in 655, was the last holder of this office to be martyred	pope	1991-09-03	
1	200	0	SAINTS		This patrol saint of artists & physicians wrote the third Gospel	Luke	1991-09-03	
1	300	0	SAINTS		St. Brigid, also known as St. Bride, founded the 1st Women's Religious Community in this country	Ireland	1991-09-03	
1	400	0	SAINTS		St. Helen was the mother of this Roman emperor who decreed the toleration of Christianity	Constantine	1991-09-03	
1	500	0	SAINTS		He's the patron saint of Russians & sailors as well as children	Nicholas	1991-09-03	
1	100	0	GEOGRAPHY		Known for its wine & cheese, Lombardy is also this country's chief industrial region	Italy	1991-09-03	
1	200	0	GEOGRAPHY		The "Blue" branch of this river begins at Lake Tana in Ethiopia	Nile	1991-09-03	
1	300	0	GEOGRAPHY		In 1972 the remaining Ryukyu Islands still under U.S. control were returned to this country	Japan	1991-09-03	
1	400	0	GEOGRAPHY		The two countries that occupy the Scandinavian peninsula	Sweden & Norway	1991-09-03	
1	500	0	GEOGRAPHY		Jamaica, Hispaniola & Puerto Rico are part of the "Greater" group of these W. Indies islands	Antilles	1991-09-03	
1	100	0	CLOTHES		\"Nightie" is a nickname for this garment	nightgown	1991-09-03	
1	200	0	CLOTHES		Close-fitting name of the close-fitting leg coverings favored by dancers	tights	1991-09-03	
1	300	0	CLOTHES		Despite the name you don't have to like cigarettes to wear one of these loose-fitting jackets	smoking jacket	1991-09-03	
1	400	0	CLOTHES		An inro is a small container that hangs from one of these kimono sashes	obi	1991-09-03	
1	500	0	CLOTHES		A light, often lacy, scarf senoras wear over the head & shoulders	mantilla	1991-09-03	
1	100	0	\"LINE"S	[The S was uppercase and the same size.]	A batted baseball hit in a nearly straight trajectory	line drive	1991-09-03	
1	200	0	\"LINE"S	[The S was uppercase and the same size.]	The maximum sum that a customer of a store or bank is authorized to borrow	line of credit	1991-09-03	
1	300	0	\"LINE"S	[The S was uppercase and the same size.]	To understand the unexpressed but implied meaning of something said or written	read between the lines	1991-09-03	
1	400	0	\"LINE"S	[The S was uppercase and the same size.]	In 1968 Glen Campell reached No. 3 with this song about a county employee in Kansas	\"Wichita Lineman\"	1991-09-03	
1	500	0	\"LINE"S	[The S was uppercase and the same size.]	President Reagan pointed out the governors of 43 states have this type of veto	line-item veto	1991-09-03	
2	200	0	WORLD LEADERS		He's the Fifth Republic's fourth president	Mitterand	1991-09-03	
2	400	0	WORLD LEADERS		This Czech president's plays were formerly banned in his homeland	Havel	1991-09-03	
2	600	0	WORLD LEADERS		Before becoming President of Syria in 1971, he was the country's Minister of Defense	Assad	1991-09-03	
2	800	0	WORLD LEADERS		In 1990 this owner of La Prensa led an anti-Sandinista coalition to victory in Nicaragua	Violeta Chammoro	1991-09-03	
2	1000	0	WORLD LEADERS		SWAPO leader Sam Nujoma became president of this newly independent African nation in 1990	Namibia	1991-09-03	
2	200	0	ARIZONA		By 1883 Arizona was crossed by 2 major railroads, the Southern Pacific & this	Atchison, Topeka & the Santa Fe	1991-09-03	
2	400	0	ARIZONA		In 1861 Arizonans voted to join it & sent a delegate to its congress	Confederacy	1991-09-03	
2	600	0	ARIZONA		Founded by Mormons & home to a large Mormon temple, this city was named for the "flatland" it's on	Mesa	1991-09-03	
2	800	0	ARIZONA		Phoenix sits in a basin known as the "Valley of" this	the Sun	1991-09-03	
2	1000	0	ARIZONA		In 1988 Rose Mofford replaced this man as governor	(Evan) Mecham	1991-09-03	
2	200	0	COLORS		A small burrowing mammal with rudimentary eyes, or a dark shade of gray	mole	1991-09-03	
2	400	0	COLORS		This reddish shade is slang for being sympathetic to communism	pink	1991-09-03	
2	600	0	COLORS		Ironically, this color can mean either puritanical or risque	blue	1991-09-03	
2	800	3000	COLORS		Color in the title of the following: Van Morrison's first big hit: "Hey, where did we go / Days when the rains came ? / Down in the hollow / Playing a new game / Laughing and a-running, hey, hey / Skipping and a-jumping...\"	\"Brown Eyed Girl\"	1991-09-03	
2	1000	0	COLORS		When mixing paint, yellow is the complementary color of this one	purple	1991-09-03	
2	200	0	THE 1930s		American volunteers were heading to this country in 1937 to help the Loyalists in their civil war	Spain	1991-09-03	
2	400	0	THE 1930s		On her Nov. 11, 1938 radio show she belted out the song "God Bless America\"	Kate Smith	1991-09-03	
2	600	0	THE 1930s		In Feb. 1930 she was crowned the world's amateur singles figure-skating champ for the 4th straight year	Sonja Henie	1991-09-03	
2	800	2000	THE 1930s		In Oct. 1931 he received the stiffest sentence ever for income tax evasion, 11 years in prison	(Al) Capone	1991-09-03	
2	1000	0	THE 1930s		In 1932, amid charges of neglect & incompetency, this dapper NYC mayor resigned	(Jimmy) Walker	1991-09-03	
2	200	0	POTPOURRI		If you're still wondering what "Fahrvergnugen" means in this company's ads, it's "driving pleasure\"	Volkswagen	1991-09-03	
2	400	0	POTPOURRI		Common in Hawaii, a fire fountain is a stream of this issuing from a vent in the ground	lava	1991-09-03	
2	600	0	POTPOURRI		In law, "common of piscary" refers to the right of doing this in waters owned by others	fishing	1991-09-03	
2	800	0	POTPOURRI		This jazz "Yardbird" was great at improvising on the alto sax	Charlie Parker	1991-09-03	
2	1000	0	POTPOURRI		After Colorado, this state to its north has the highest average elevation in the U.S.	Wyoming	1991-09-03	
2	200	0	CHARACTERS IN FILM		Marion Crane, Sam Loomis & Norman Bates	Psycho	1991-09-03	
2	400	0	CHARACTERS IN FILM		Doris Walker, Fred Gailey & Kris Kringle	Miracle on 34th Street	1991-09-03	
2	600	0	CHARACTERS IN FILM		The Ringo Kid, Dallas & Doc Boone	Stagecoach	1991-09-03	
2	800	0	CHARACTERS IN FILM		Father O'Malley, Genevieve Linden & Father Fitzgibbon	Going My Way	1991-09-03	
2	1000	0	CHARACTERS IN FILM		President Muffley, Colonel "Bat" Guano & General Jack D. Ripper	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	1991-09-03	
3	0	0	NOVELS		Hemingway novel that begins, "Robert Cohn was once middleweight boxing champion of Princeton\"	The Sun Also Rises	1991-09-03	
1	100	0	STARTS WITH "A\"		In olden days a well-dressed knight wore suits of this & so did their horses	armor	1991-09-04	
