round	clue_value	daily_double_value	category	comments	answer	question	air_date	notes
1	100	0	FILMS OF THE '90s		In a 1996 film Leonardo DiCaprio & Claire Danes play these star-crossed lovers in a modern setting	Romeo & Juliet	1997-09-01	
1	200	0	FILMS OF THE '90s		This shock jock exposed his "Private Parts" in a recent film based on his autobiography	Howard Stern	1997-09-01	
1	300	0	FILMS OF THE '90s		In this 1993 film, Holly Hunter performed the musical sequences herself	The Piano	1997-09-01	
1	500	0	FILMS OF THE '90s		In this 1991 satire, Sally Field played the star of a daytime serial, "The Sun Also Sets\"	Soapdish	1997-09-01	
1	100	0	UNINTELLIGIBLE		In "Julius Caesar" Casca says, "For mine own part, it was" this "to me\"	Greek	1997-09-01	
1	200	0	UNINTELLIGIBLE		Glossolalia, nonmeaningful speech, is also called speaking in these	tongues	1997-09-01	
1	300	0	UNINTELLIGIBLE		Unclear bureaucratic talk; it's not talking turkey, but sounding like one	Gobbledygook	1997-09-01	
1	400	0	UNINTELLIGIBLE		People had a tough time figuring out exactly what the lyrics were to this 1963 Kingsmen hit	\"Louie Louie\"	1997-09-01	
1	500	0	UNINTELLIGIBLE		Specialized language of a profession or trade that's meaningless to those outside the field	jargon	1997-09-01	
1	100	0	SALUTE TO LABOR		Promising more assertiveness, John Sweeney was elected president of this labor federation in 1995	AFL-CIO	1997-09-01	
1	200	0	SALUTE TO LABOR		In 1969 the brakemen, firemen & switchmen on these were "tied" together in one union	railroads	1997-09-01	
1	300	0	SALUTE TO LABOR		OCAW is the union of oil, chemical & these workers; let's hope Homer Simpson's not a member	Nuclear/Atomic Workers	1997-09-01	
1	400	0	SALUTE TO LABOR		This worker may be found on an airplane or as a union representative on a shop floor	Steward	1997-09-01	
1	500	0	SALUTE TO LABOR		In 1995 the Int'l Association of Machinists staged a 69-day strike against this Seattle-based company	Boeing	1997-09-01	
1	100	0	MOUNTAINS		Indonesia's Mount Marapi, whose name means "fire mountain", is one of these	Volcano	1997-09-01	
1	200	0	MOUNTAINS		As the highest peak, 4,000-foot Ataviros could be called the colossus of this Greek island	Rhodes	1997-09-01	
