round	clue_value	daily_double_value	category	comments	answer	question	air_date	notes
1	200	0	SCIENCE CLASS		In natural form a mixture of 3 isotopes, this element is the most abundant in the Earth's crust & in the human body	oxygen	2023-09-11	2023 Second Chance competition week 1, semifinal game 1.
1	400	0	SCIENCE CLASS		Used as a common medical treatment in the 19th century, laudanum is a tincture of this narcotic dissolved in distilled spirits	opium	2023-09-11	2023 Second Chance competition week 1, semifinal game 1.
1	600	1600	SCIENCE CLASS		Sedimentary deposits near Lake Superior produce the largest U.S. annual yield of hematite, the main ore of this metal	iron	2023-09-11	2023 Second Chance competition week 1, semifinal game 1.
1	800	0	SCIENCE CLASS		Alfred Nobel invented dynamite by mixing kieselguhr, a type of chalky earth, with this liquid explosive	nitroglycerin	2023-09-11	2023 Second Chance competition week 1, semifinal game 1.
1	1000	0	SCIENCE CLASS		Around 1908, geneticist Thomas Morgan began using this insect to help establish the chromosome theory of heredity	a fruit fly	2023-09-11	2023 Second Chance competition week 1, semifinal game 1.
1	200	0	WELCOME TO MIAMI		The Gold Coast Railroad Museum boasts the train from which this pres. held a paper telling of his 1948 election "defeat\"	Truman	2023-09-11	2023 Second Chance competition week 1, semifinal game 1.
1	400	0	WELCOME TO MIAMI		Miami has the USA's largest cruise terminal, serving this cruise line named for a nearby sea	Royal Caribbean	2023-09-11	2023 Second Chance competition week 1, semifinal game 1.
1	600	0	WELCOME TO MIAMI		Don't look to crash with this Miami Heat legend & wife Gabrielle Union—they sold their mansion for $22 million	(Dwyane) Wade	2023-09-11	2023 Second Chance competition week 1, semifinal game 1.
1	800	0	WELCOME TO MIAMI		The Brickell Section of town has one end of the Tamiami Trail; 264 miles away, the other end is, naturally, in this city	Tampa	2023-09-11	2023 Second Chance competition week 1, semifinal game 1.
1	1000	0	WELCOME TO MIAMI		Calle Ocho, or Southwest 8th Street, is the main thoroughfare of this area, home to many exiles	Little Havana	2023-09-11	2023 Second Chance competition week 1, semifinal game 1.
1	200	0	A LATIN BESTIARY		This creature puts the leap in Lepus, its Latin name	the hare (jackrabbit)	2023-09-11	2023 Second Chance competition week 1, semifinal game 1.
1	400	0	A LATIN BESTIARY		That Bubo, this avian, was making noise all night & I couldn't sleep	an owl	2023-09-11	2023 Second Chance competition week 1, semifinal game 1.
1	800	0	A LATIN BESTIARY		A horse is this, also a Peter Shaffer play title	Equus	2023-09-11	2023 Second Chance competition week 1, semifinal game 1.
1	1000	0	A LATIN BESTIARY		Pullus, "chicken", gives us this English word for a young & yummy hen	a pullet	2023-09-11	2023 Second Chance competition week 1, semifinal game 1.
1	200	0	SOUNDS LIKE FOOD		Types of these include http-only, session & zombie, but none of them go very well with a glass of cold milk	a cookie	2023-09-11	2023 Second Chance competition week 1, semifinal game 1.
