round	clue_value	daily_double_value	category	comments	answer	question	air_date	notes
1	200	0	LET'S HIT HIGHWAY 101		A Civil War fortress & the Bay Area Discovery Museum are on either side of this landmark with a main span of 4,200' that carries the 101	Golden Gate Bridge	2024-09-09	
1	400	0	LET'S HIT HIGHWAY 101		Just off the 101 is this filmmaking theme park, where tourists saw George the fisherman become shark food from 1976 to 2001	Universal Studios	2024-09-09	
1	600	0	LET'S HIT HIGHWAY 101		An hour north of Eureka, a different drive-through awaits you in Klamath near the national park named for this large type of tree	Redwood	2024-09-09	
1	800	1000	LET'S HIT HIGHWAY 101		Knowing this state capital is at the south end of Puget Sound is geography 101	Olympia	2024-09-09	
1	1000	0	LET'S HIT HIGHWAY 101		Hop off the 101 onto the Pacific Coast Highway to see this landmark owned by a newspaper biz giant; it even had its own airport, built in the 1920s	Hearst Castle	2024-09-09	
1	200	0	POP GOES THE CULTURE		Tawny Newsome got animated & boldly went on the "Lower Decks" of this long-running sci-fi franchise as Beckett Mariner	Star Trek	2024-09-09	
1	400	0	POP GOES THE CULTURE		There's a fungus among us, & as Ellie, Bella Ramsey has to deal with it in many, many horrific ways on this HBO drama	The Last of Us	2024-09-09	
1	600	0	POP GOES THE CULTURE		An escaped convict named Stagg R. Leigh writes "My Pafology" (or does he?) in this 2023 Jeffrey Wright film	American Fiction	2024-09-09	
1	800	0	POP GOES THE CULTURE		In this 1998 film Jane Kaczmarek was Tobey Maguire's mom in color; Joan Allen was his mom in black & white	Pleasantville	2024-09-09	
1	1000	0	POP GOES THE CULTURE		He took us to church & No. 2 on the Hot 100 in 2014, & in 2024, this one-named Irish singer went one slot higher with "Too Sweet\"	Hozier	2024-09-09	
1	200	0	ALSO KNOWN AS		The pound sign or octothorpe on your socials	a hashtag	2024-09-09	
1	400	0	ALSO KNOWN AS		Rapper Shawn Carter	Jay-Z	2024-09-09	
1	600	0	ALSO KNOWN AS		Myanmar	Burma	2024-09-09	
1	800	0	ALSO KNOWN AS		The court security officer	the bailiff	2024-09-09	
1	1000	0	ALSO KNOWN AS		Conqueror Timur	Tamerlane	2024-09-09	
1	200	0	GOING TO PLANETARY EXTREMES		It's got the strongest gravity of any planet, nearly 2 1/2 times ours	Jupiter	2024-09-09	
1	400	0	GOING TO PLANETARY EXTREMES		The greenhouse effect, not just proximity to the sun, makes it the hottest of the planets	Venus	2024-09-09	
1	600	0	GOING TO PLANETARY EXTREMES		It not only has an odd axis of rotation, it's also the coldest planet, with temps approaching -400 Fahrenheit	Uranus	2024-09-09	
1	800	0	GOING TO PLANETARY EXTREMES		Mostly hydrogen & helium, it has the lowest average density of any planet in the solar system & would float in a really big tub	Saturn	2024-09-09	
1	1000	0	GOING TO PLANETARY EXTREMES		It has the most eccentric orbit of any planet, varying between 29 million & 43 million miles	Mercury	2024-09-09	
1	200	0	PARENTING		Early February brings the world day for parents to do this, a bonding & cognitive benefit, so yes, Berenstain Bears one more time	reading books to their kids	2024-09-09	
1	400	0	PARENTING		Let grandparents do this with candy & late nights—it's part of their role & face it, they won't—someday they—you know what I mean	spoiling	2024-09-09	
1	600	0	PARENTING		Is this OK in front of your kids? Ali Wentworth & Heidi Klum have publicly said it is for them & theirs	nudity (being naked in front of the kids)	2024-09-09	
1	800	0	PARENTING		Resource family is now the term in California for these "parents" who take in kids often en route to adoption	foster parents	2024-09-09	
1	1000	0	PARENTING		Some airports & other spaces have installed Pluie, a self-sanitizing type of this often desperately needed furniture item	a changing table	2024-09-09	
1	200	0	\"MOM" & "DAD\"		It's defined as an embarrassing, unoriginal attempt at humor—wanna hear one?	a dad joke	2024-09-09	
1	400	0	\"MOM" & "DAD\"		Merriam-Webster defines this as "a typically suburban mother who accompanies her children to their...games\"	a soccer mom	2024-09-09	
1	600	0	\"MOM" & "DAD\"		This paternal name for a rich benefactor comes from "Little Orphan Annie\"	Daddy Warbucks	2024-09-09	
1	800	0	\"MOM" & "DAD\"		Cripes! It's time to scram! To beat it! To do this, originally Civil War-era slang for retreating in haste	skedaddle	2024-09-09	
1	1000	0	\"MOM" & "DAD\"		This spice of the ginger family is popular in Indian food	cardamom	2024-09-09	
2	400	0	HISTORIC GROUPS OF 3		On Columbus' first transatlantic voyage, this ship in the fleet of 3 made it to the New World, but not back to the old	the Santa Maria	2024-09-09	
2	800	0	HISTORIC GROUPS OF 3		Formed in 43 B.C., the Second Roman Triumvirate was made up of Marcus Lepidus, Mark Antony & this future emperor	Augustus (Octavian)	2024-09-09	
2	1200	0	HISTORIC GROUPS OF 3		As Lenin faded from power, this man formed a troika with Zinoviev & Kamenev & you'll never guess what he later did to Zin & Kam	Stalin	2024-09-09	
2	1600	3000	HISTORIC GROUPS OF 3		The clergy, the nobility & the people were France's 3 of these representative divisions before the Revolution	the estates	2024-09-09	
2	2000	0	HISTORIC GROUPS OF 3		3 countries were involved in the 1879-1883 War of the Pacific & this nation lost its access to that ocean as a result	Bolivia	2024-09-09	
2	400	0	FROM THE ITALIAN		This term for an elaborate melody sung solo means "air" in Italian	aria	2024-09-09	
2	800	0	FROM THE ITALIAN		Now used to reply "the same", this 5-letter word once came before a machine that made copies	ditto	2024-09-09	
2	1200	0	FROM THE ITALIAN		Known to vodka drinkers, this word meaning "fine view" in Italian refers to a building that gazes out on lovely scenery	belvedere	2024-09-09	
2	1600	400	FROM THE ITALIAN		Medieval astrologers thought this, caused by mutating viral strains, was connected to the effect of the stars	influenza	2024-09-09	
2	2000	0	FROM THE ITALIAN		When the pope dies, this cardinal, treasurer of the Holy See, oversees the election of the new pope	the camerlengo	2024-09-09	
2	400	0	\"HY" FIVE		Pluots & limequats are this type of fruit, created by crossing different plant species	hybrids	2024-09-09	
2	800	0	\"HY" FIVE		In other words, a theory, conjecture, supposition	a hypothesis	2024-09-09	
2	1600	0	\"HY" FIVE		Illness anxiety disorder is now the preferred term for this	hypochondria	2024-09-09	
2	2000	0	\"HY" FIVE		A rapid, massive increase in prices; Hungary had a bad case of it following WWII with prices doubling & tripling daily	hyperinflation	2024-09-09	
2	400	0	LITERARY BIOGRAPHY		Kay Redfield Jamison focuses on this disorder in her book on Robert Lowell, who said, "I write my best poetry when I'm manic\"	bipolar disorder	2024-09-09	
2	800	0	LITERARY BIOGRAPHY		Robert Gittings' bio makes much of this "Return of the Native" author's relations with Tryphena Sparks, a good heroine name	Thomas Hardy	2024-09-09	
2	1200	0	LITERARY BIOGRAPHY		His greatest work is about a 60-or-so-mile trek to Canterbury, but him: "A European Life" sees him in France, Italy & Spain	Chaucer	2024-09-09	
2	1600	0	LITERARY BIOGRAPHY		Her affair with a niece of Napoleon III is one of the "Secrets of the Flesh" in a bio of this French author who went by 1 name	Colette	2024-09-09	
2	2000	0	LITERARY BIOGRAPHY		\"Divine Invasions" is a good title for a bio of this man if not quite up to his own classic titles like "Flow My Tears, the Policeman Said\"	Philip K. Dick	2024-09-09	
2	400	0	CHURCHES & CATHEDRALS		Boston's oldest surviving house of worship, Christ Church was built in 1723 & is also called this	the Old North Church	2024-09-09	
2	800	0	CHURCHES & CATHEDRALS		This house of worship in Venice was built in the 9th century to house the remains of its namesake	St. Mark's	2024-09-09	
2	1200	0	CHURCHES & CATHEDRALS		This Moscow cathedral was commissioned by Ivan the Terrible to celebrate victories over Kazan & Astrakhan	St. Basil's	2024-09-09	
2	1600	0	CHURCHES & CATHEDRALS		Partly by the effort of the memorably named Cardinal Sin, Manila Cathedral was elevated to Basilica of this doctrine of Mary's purity	Immaculate Conception	2024-09-09	
2	2000	0	CHURCHES & CATHEDRALS		Built during Charlemagne's reign, the Palatine Chapel of this German city's cathedral was completed in time for his 814 burial	Aachen	2024-09-09	
2	400	0	SONGS FOR THE YOUNG & OLD		The lyric "I hope I die before I get old" is from their song "My Generation\"	The Who	2024-09-09	
2	800	0	SONGS FOR THE YOUNG & OLD		At the 1969 Harlem Cultural Festival, Nina Simone performed the song titled "To Be Young" & these 2 things	Gifted & Black	2024-09-09	
2	1200	0	SONGS FOR THE YOUNG & OLD		Billy Joel said that this song of his "wasn't so much anti-Catholic as pro-lust\"	\"Only The Good Die Young\"	2024-09-09	
2	1600	0	SONGS FOR THE YOUNG & OLD		This 2024 Coachella headliner's "Young And Beautiful" appeared on the soundtrack for "The Great Gatsby\"	Lana Del Rey	2024-09-09	
2	2000	0	SONGS FOR THE YOUNG & OLD		\"New Person, Same Old Mistakes" by this music project that's basically just Kevin Parker was covered by Rihanna	Tame Impala	2024-09-09	
3	0	0	FAMOUS WOMEN		Before her death in 2022, she pledged her collection of more than 200 pins to the National Museum of American Diplomacy	(Madeleine) Albright	2024-09-09	
1	400	0	1890s AMERICA		America's schoolchildren first recited it for Columbus Day in 1892	the Pledge of Allegiance	2024-09-10	
1	600	0	1890s AMERICA		At the Columbian Exposition in Chicago, Wrigley's introduced Juicy Fruit gum & the Rueckheim brothers, this ballpark snack	Cracker Jack	2024-09-10	
1	800	0	1890s AMERICA		In 1895 President Cleveland asked citizens to refrain from giving aid to this island's rebels fighting against Spain	Cuba	2024-09-10	
1	1000	0	1890s AMERICA		In 1895 Eugene Debs went to prison for his part in the Pullman Strike, though this man was his attorney	Darrow	2024-09-10	
1	200	0	4 OF THE SAME CONSONANT		If you're having a little laugh, you're doing this	giggling	2024-09-10	
1	400	0	4 OF THE SAME CONSONANT		Whether the "old man" plays it on your thumb or not, it's a name for a trinket or curio	a knickknack	2024-09-10	
1	600	0	4 OF THE SAME CONSONANT		Mountain Dew once had a mascot rhymingly known as Willy the this	Hillbilly	2024-09-10	
1	800	0	4 OF THE SAME CONSONANT		The third Friday in October is the national day for this procedure to help detect breast cancer	a mammogram	2024-09-10	
1	1000	0	4 OF THE SAME CONSONANT		Indiana Jones might now call an arrogant youngster one of these, which begins with his favorite weapon	a whippersnapper	2024-09-10	
1	200	0	HAVE A DAY!		January 18 honors, celebrates, appreciates, observes National this reference book Day	Thesaurus	2024-09-10	
1	400	0	HAVE A DAY!		Since 2002 September 19 has been International this Day, ya scurvy scalawag	Talk Like a Pirate Day	2024-09-10	
1	600	0	HAVE A DAY!		National Tater Tot Day & Day of the Crêpe both fall on this date, but we didn't find Live the Day Over & Over Day	February 2nd (Groundhog Day)	2024-09-10	
1	800	0	HAVE A DAY!		People online can yell non-stop on both June 28 & October 22 as they celebrate this keyboard key right under tab	Caps Lock	2024-09-10	
1	1000	0	HAVE A DAY!		Celebrating April 11 as this old-timey singing foursome day dates back to 1938 when 26 men gathered for a songfest; wait... not 24 or 28?	a barbershop quartet	2024-09-10	
1	200	0	CELEBRITIES WHO READ ALOUD		Having starred in the film adaptation of Michael Cunningham's "The Hours", she offered to narrate his 2023 book "Day\"	Julianne Moore	2024-09-10	
1	400	0	CELEBRITIES WHO READ ALOUD		Going on a long trip to Ithaca? Then spend 9+ hours with Derek Jacobi reading this epic poem, & say hi to Telemachus for us	the Odyssey	2024-09-10	
1	600	0	CELEBRITIES WHO READ ALOUD		Almost 40 years after starring in "Heartburn", she read the Nora Ephron novel on audiobook, down to the recipes	Meryl Streep	2024-09-10	
