round	clue_value	daily_double_value	category	comments	answer	question	air_date	notes
1	100	0	DESERT DWELLERS		This speedy bird of the American Southwest is also known as a ground cuckoo	a roadrunner	2000-09-04	
1	200	0	DESERT DWELLERS		The tracks of this desert rattlesnake consist of parallel diagonal imprints of its body	a sidewinder	2000-09-04	
1	300	0	DESERT DWELLERS		This stinging arachnid is fluorescent when exposed to ultraviolet light	the scorpion	2000-09-04	
1	400	0	DESERT DWELLERS		This pocket mouse that sounds like a marsupial drinks little; water is produced from its food & oxygen	a kangaroo rat	2000-09-04	
1	500	0	DESERT DWELLERS		A rare animal indeed is Ursus gobiensis, the Gobi this	a bear	2000-09-04	
1	100	0	PAUL McCARTNEY		On meeting this man, Paul asked to join his band, the Quarrymen	John Lennon	2000-09-04	
1	200	0	PAUL McCARTNEY		Paul McCartney's other band, they were the "Band on the Run\"	Wings	2000-09-04	
1	300	0	PAUL McCARTNEY		In January 1980 Paul was arrested for drug possession in this Asian capital	Tokyo	2000-09-04	
1	400	0	PAUL McCARTNEY		Of John, James, Elvis or Ringo, Paul McCartney's real first name	James	2000-09-04	
1	500	0	PAUL McCARTNEY		Paul McCartney wears this on his left foot on the cover of "Abbey Road\"	nothing	2000-09-04	
1	100	0	TOTALLY 1680s!		The 1689 Treaty of Nerchinsk between Russia & this country on its east remained in force for 170 years	China	2000-09-04	
1	200	0	TOTALLY 1680s!		In 1682 La Salle said, "Laissez les bon temps rouler" as he claimed this North American territory for France	Louisiana	2000-09-04	
1	300	0	TOTALLY 1680s!		Last name of father & son Cotton & Increase, co-ministers at Boston's North Church starting in 1685	Mather	2000-09-04	
1	400	1500	TOTALLY 1680s!		Around 1683 Jules Hardouin-Mansart completed this narcissistic Versailles feature, Galerie des Glaces in French	the Hall of Mirrors	2000-09-04	
1	500	0	TOTALLY 1680s!		On his deathbed, speaking of his mistress Nell Gwyn, King Charles II said, "Let not poor Nelly" do this	starve	2000-09-04	
1	100	0	ANAGRAMMED TEXAS CITIES		A big deal since the 1840s: ALL SAD	Dallas	2000-09-04	
1	200	0	ANAGRAMMED TEXAS CITIES		An island city: NO VET GALS	Galveston	2000-09-04	
1	300	0	ANAGRAMMED TEXAS CITIES		Near the river of the same name: SCOPE	Pecos	2000-09-04	
1	400	0	ANAGRAMMED TEXAS CITIES		We have a problem: OOH NUTS!	Houston	2000-09-04	
1	500	0	ANAGRAMMED TEXAS CITIES		Established in 1755: OLD EAR	Laredo	2000-09-04	
1	100	0	CAR TREK		Of its own accord, in 1976 this motorcycle manufacturer introduced the Accord to the U.S.	Honda	2000-09-04	
1	200	0	CAR TREK		Reappearing in recent years, cars powered by this energy source reached their first production peak in 1912	electricity	2000-09-04	
1	300	0	CAR TREK		This TV canine & his human friends sought out the unknown in their van, The Mystery Machine	Scooby-Doo	2000-09-04	
1	400	0	CAR TREK		A Ford subcompact, or a type of Latin American celebration	a Fiesta	2000-09-04	
