round	clue_value	daily_double_value	category	comments	answer	question	air_date	notes
1	200	0	WHO'S BIBLICALLY SPEAKING?		\"I indeed baptize you with water; but one mightier than I cometh\"	John the Baptist	2011-09-19	
1	400	0	WHO'S BIBLICALLY SPEAKING?		\"Ye shall not surely die... ye shall be as gods, knowing good and evil\"	the serpent	2011-09-19	
1	600	0	WHO'S BIBLICALLY SPEAKING?		\"Art thou the King of the Jews?\"	Pilate	2011-09-19	
1	800	0	WHO'S BIBLICALLY SPEAKING?		\"Ye shall return unto the land of your possession, and enjoy it, which Moses... gave you on this side Jordan\"	Joshua	2011-09-19	
1	1000	0	WHO'S BIBLICALLY SPEAKING?		\"Hail, thou that art highly favoured, the Lord is with thee: blessed art thou among women\"	Gabriel	2011-09-19	
1	200	0	NOBEL PRIZE CATEGORIES BY WINNER	(Alex: We'll give you the winner.)	Yitzhak Rabin, 1994	Peace	2011-09-19	
1	400	0	NOBEL PRIZE CATEGORIES BY WINNER	(Alex: We'll give you the winner.)	Sir Alexander Fleming, 1945	Medicine	2011-09-19	
1	600	0	NOBEL PRIZE CATEGORIES BY WINNER	(Alex: We'll give you the winner.)	Milton Friedman, 1976	Economics	2011-09-19	
1	800	0	NOBEL PRIZE CATEGORIES BY WINNER	(Alex: We'll give you the winner.)	Richard Feynman, 1965	Physics	2011-09-19	
1	1000	0	NOBEL PRIZE CATEGORIES BY WINNER	(Alex: We'll give you the winner.)	Dario Fo, 1997	Literature	2011-09-19	
1	200	0	AMERICANS IN PARIS		Setting sail for the Paris Peace Conference in December 1918, he became the first sitting president to cross the Atlantic	Woodrow Wilson	2011-09-19	
1	400	0	AMERICANS IN PARIS		In 1855, when he was 21, he moved to Paris to study art; that painting of his mother would come later	Whistler	2011-09-19	
1	600	0	AMERICANS IN PARIS		Familiar with France from experimenting there, in 1779 he became our first ambassador to France	Benjamin Franklin	2011-09-19	
1	800	0	AMERICANS IN PARIS		He was studying at the Sorbonne in Paris when he published "The Naked and the Dead\"	Norman Mailer	2011-09-19	
1	1000	0	AMERICANS IN PARIS		Sadly, this dancer's 2 children drowned in the Seine years before that scarf cut her own life short	Isadora Duncan	2011-09-19	
