round	clue_value	daily_double_value	category	comments	answer	question	air_date	notes
1	200	0	ZOOLOGY		In the Amazon one species of this flying mammal hangs out (literally) in a tent that it makes out of a big leaf	a bat	2008-09-08	
1	400	0	ZOOLOGY		Until adulthood this "paternal" spiderlike arachnid molts, a process that takes about 20 minutes	daddy longlegs	2008-09-08	
1	600	0	ZOOLOGY		Many fish use camouflage as protection, like the sargassum fish, which has evolved to resemble this	seaweed	2008-09-08	
1	800	0	ZOOLOGY		The hair of this Arctic ruminant may reach a length of 4 feet	a musk ox	2008-09-08	
1	1000	1000	ZOOLOGY		The collared species of this rodent known for its migrations has dark fur except in the winter, when it's totally white	a lemming	2008-09-08	
1	200	0	MAJOR LEAGUE BASEBALL		On Nov. 1, 2007, after a 12-year run in the Bronx, this Yankees manager became the manager of the Dodgers	(Joe) Torre	2008-09-08	
1	400	0	MAJOR LEAGUE BASEBALL		In the 1960s only 3 men exceeded 50 home runs in a season: Maris & Mantle in 1961 & this S.F. Giant in 1965	(Willie) Mays	2008-09-08	
1	600	0	MAJOR LEAGUE BASEBALL		This current Arizona Diamondbacks pitcher has led the major leagues in strikeouts 9 times	Randy Johnson	2008-09-08	
1	800	0	MAJOR LEAGUE BASEBALL		This Seattle Mariner's 2004 batting average of .372 is the highest of the 21st century	Ichiro Suzuki	2008-09-08	
1	1000	0	MAJOR LEAGUE BASEBALL		This reliever with an intimidating fastball & mustache entered Cooperstown in 2008	(Rich "Goose") Gossage	2008-09-08	
1	200	0	RHYME TRAP	(Alex: Each correct response will rhyme with "trap".)	A beret	a cap	2008-09-08	
1	400	0	RHYME TRAP	(Alex: Each correct response will rhyme with "trap".)	Sugar maples contain it	sap	2008-09-08	
1	600	0	RHYME TRAP	(Alex: Each correct response will rhyme with "trap".)	Proverbial place "of luxury\"	a lap	2008-09-08	
1	800	0	RHYME TRAP	(Alex: Each correct response will rhyme with "trap".)	Ann Miller's dance specialty	tap	2008-09-08	
1	1000	0	RHYME TRAP	(Alex: Each correct response will rhyme with "trap".)	A globe is a round one	a map	2008-09-08	
1	200	0	25		At age 25, he won the Raymond Orteig Prize of $25,000 for the first solo flight between New York & Paris	Lindbergh	2008-09-08	
1	400	0	25		From 1937 to 1949, he successfully defended his heavyweight boxing title a record 25 times	(Joe) Louis	2008-09-08	
1	600	0	25		Chapter 25 of this biblical book begins, "Then again Abraham took a wife, and her name was Keturah\"	Genesis	2008-09-08	
1	800	0	25		In 1919 this beverage company was sold to Atlanta banker Ernest Woodruff for $25 million	Coca-Cola	2008-09-08	
1	1000	0	25		It averages a height of 25 feet for its length of more than 1,500 miles	the Great Wall of China	2008-09-08	
1	200	0	YEARS		A House of Representatives vote of 323-89 helped make Hawaii the 50th state in this year	1959	2008-09-08	
1	400	0	YEARS		Gerald Ford moved out of the White House in this year	1977	2008-09-08	
1	600	0	YEARS		There was no ice-scape for more than 1,500 in April of this year when the Titanic sank	1912	2008-09-08	
1	800	0	YEARS		Barbara Tuchman's "The Guns of August" has also been published as "August" this fateful year	1914	2008-09-08	
1	1000	0	YEARS		Mary Lou Retton won Olympic gymnastic gold in Los Angeles in this year	1984	2008-09-08	
1	400	0	A LOOK BACK WITH JEOPARDY!		1989 saw our first college tournament, & in this country, student protests that began the Velvet Revolution	Czechoslovakia	2008-09-08	
1	600	0	A LOOK BACK WITH JEOPARDY!		For our tenth anniversary, there was no joy in Mudville as he declared the World Series canceled due to a labor dispute	(Bud) Selig	2008-09-08	
1	800	0	A LOOK BACK WITH JEOPARDY!		Things unveiled in 1999 included my star on the Hollywood Walk of Fame & this London structure	the Millennium Dome	2008-09-08	
1	1000	0	A LOOK BACK WITH JEOPARDY!		In 2004, we put out a 20th anniversary book, & after handing sovereignty back to Iraq's government, he started his memoirs	(Paul) Bremer	2008-09-08	
2	400	0	COLONIAL WILLIAMSBURG		(Jon of the Clue Crew reports from Duke of Gloucester St. in Colonial Williamsburg.) I'm on Duke of Gloucester Street in Williamsburg, which this U.S. president called "the most historic avenue in all America" when he visited in 1934	FDR	2008-09-08	
