round	value	daily_double	category	comments	answer	question	air_date	notes
1	100	no	NONFICTION	-	\"Linda's Kitchen" is a vegetarian cookbook by this wife of a former Beatle	McCartney	1996-09-02	-
1	200	no	NONFICTION	-	Robert K. Massie concluded his saga of this royal couple in "The Romanovs: The Final Chapter\"	Nicholas & Alexandra	1996-09-02	-
1	300	no	NONFICTION	-	This Microsoft CEO talks about the future of computers in his bestseller "The Road Ahead\"	Bill Gates	1996-09-02	-
1	400	no	NONFICTION	-	This family of anthropologists is the subject of the biography "Ancestral Passions\"	the Leakeys	1996-09-02	-
1	500	no	NONFICTION	-	\"Years of Upheaval" is his personal account of foreign affairs during President Nixon's 2nd term	Henry Kissinger	1996-09-02	-
1	100	no	FEMININE NAMES	-	This name was especially popular in the 1800s, when a certain Miss Dickinson and Miss Bronte were born	Emily	1996-09-02	-
1	200	no	FEMININE NAMES	-	Actress Bergman helped popularize this Scandinavian first name, possibly meaning "beautiful\"	Ingrid	1996-09-02	-
1	300	no	FEMININE NAMES	-	The name Perdita was created by this playwright for the heroine of his "Winter's Tale\"	Shakespeare	1996-09-02	-
1	1000	yes	FEMININE NAMES	-	Dominique is traditional for a girl born on this day of the week	Sunday	1996-09-02	-
1	500	no	FEMININE NAMES	-	Lolita is a pet form of Lola & Lola is a pet form of this name, Spanish for "sorrows\"	Dolores	1996-09-02	-
1	100	no	SUPERSTITIONS	-	According to the Magickal Almanac, this is the only country where a black cat is considered bad luck	the United States	1996-09-02	-
1	200	no	SUPERSTITIONS	-	Don't ask a fisherman this question; if he answers, it'll stop his streak	\"Did you catch any?" (or "Are they biting?")	1996-09-02	-
1	300	no	SUPERSTITIONS	-	In pagan Ireland this plant was a symbol of the 3 aspects of this goddess	the shamrock	1996-09-02	-
1	400	no	SUPERSTITIONS	-	For a bride, a coin in here ensures future wealth & perhaps a painful walk down the aisle	her shoe	1996-09-02	-
1	500	no	SUPERSTITIONS	-	Finding & carrying a rusty one of these is luckier than a shiny one…just don't step on it	a nail	1996-09-02	-
1	100	no	U.S. GEOGRAPHY	-	This city is the seat of Washington's King County	Seattle	1996-09-02	-
1	200	no	U.S. GEOGRAPHY	-	The name of this state's Kennebec River is Algonquian for "long reach\"	Maine	1996-09-02	-
1	300	no	U.S. GEOGRAPHY	-	The geographic center of this state lies in Wexford County, 5 miles north-northwest of Cadillac	Michigan	1996-09-02	-
1	400	no	U.S. GEOGRAPHY	-	The largest area of sand dunes in North America lies north of the Platte River in this state	Nebraska	1996-09-02	-
1	500	no	U.S. GEOGRAPHY	-	Over 3 dozen mountains in this northern New York range exceed 4,000 feet	the Adirondacks	1996-09-02	-
1	100	no	THE 1996 OLYMPICS	-	France's Marie-Jose Perec won the women's 200- & 400-meter runs, & this American became the 1st man to win both	Michael Johnson	1996-09-02	-
