round	value	daily_double	category	comments	answer	question	air_date	notes
1	100	no	LONDON LANDMARKS	-	The last monarch crowned in this church was Elizabeth II	Westminster Abbey	1995-09-04	-
1	200	no	LONDON LANDMARKS	-	St. Helen's Bishopsgate is one of the few churches that survived this 1666 event	the Great Fire of London	1995-09-04	-
1	300	no	LONDON LANDMARKS	-	Some of these are Battersea, Regent's & Hyde	parks	1995-09-04	-
1	400	no	LONDON LANDMARKS	-	Opened in 1897, this gallery of modern British art was named for a sugar merchant	Tate Gallery	1995-09-04	-
1	500	no	LONDON LANDMARKS	-	The address of this world-famous auction house is 34-35 New Bond Street	Sotheby's	1995-09-04	-
1	100	no	THE EMMYS	-	A 1960 Emmy for drama writing went to this creator of the "Twilight Zone\"	Rod Serling	1995-09-04	-
1	200	no	THE EMMYS	-	In 1990 & 1991 this Fox show was named the outstanding animated prime-time series	The Simpsons	1995-09-04	-
1	300	no	THE EMMYS	-	When accepting his Emmy for "Saturday Night Live" in 1976, he took one of his trademark pratfalls	Chevy Chase	1995-09-04	-
1	400	no	THE EMMYS	-	This sitcom's Laurie Metcalf received Emmys in 1992, '93 & '94 for her role as Jackie	Roseanne	1995-09-04	-
1	500	no	THE EMMYS	-	In 1982 this 3-time Oscar winner won an Emmy for her performance in "A Woman Called Golda\"	Ingrid Bergman (she played Golda Meir)	1995-09-04	-
1	100	no	FOOD FACTS	-	The early Romans used it as an ointment; we use it on toast & baked potatoes	butter	1995-09-04	-
1	200	no	FOOD FACTS	-	The brittle of peanut brittle includes sugar, water, baking soda & this syrup	corn syrup	1995-09-04	-
1	300	no	FOOD FACTS	-	Classically, this French dish is an old rooster cooked in wine; you can use a game hen	coq au vin	1995-09-04	-
1	400	no	FOOD FACTS	-	Cultivated in hothouses, the button is a common one of these	mushroom	1995-09-04	-
1	500	no	FOOD FACTS	-	Added to punch or hung in the closet, it's a fruit studded with cloves & then dried	pomander	1995-09-04	-
1	100	no	AMERICAN HISTORY	-	He organized the corps of men who photographed the Civil War; poor eyesight limited his work	Mathew Brady	1995-09-04	-
