round	value	daily_double	category	comments	answer	question	air_date	notes
1	200	no	PHOTOGRAPHERS	-	Documentary photographer Garry Winogrand left behind some 500,000 of these he never printed	negatives	2003-09-08	-
1	600	no	PHOTOGRAPHERS	-	Dick Avery, Fred Astaire's character in "Funny Face", is based on this real-life photographer	Richard Avedon	2003-09-08	-
1	1000	no	PHOTOGRAPHERS	-	This photographer who died in 2002 launched his career with early pictures of his pal Richard Gere	Herb Ritts	2003-09-08	-
1	200	no	TV ON TV	-	On this TV show, Al Bundy's favorite TV show was "Psycho Dad\"	Married... with Children	2003-09-08	-
1	400	no	TV ON TV	-	When this sitcom character went on "Jeopardy!", his categories included Civil Servants, Bar Trivia & Celibacy	Cliff Clavin	2003-09-08	-
1	800	no	TV ON TV	-	\"Captain Video" was this character's favorite TV show on "The Honeymooners\"	Ed (Norton)	2003-09-08	-
1	1000	no	TV ON TV	-	On "Saturday Night Live", Beldar, Prymaat & Connie Conehead appeared as contestants on this game show	Family Feud	2003-09-08	-
1	200	no	STAND BY YOUR BRAND	-	These popular jam cookies are said to be named for either a Massachusetts city or an English scientist	Fig Newtons	2003-09-08	-
1	400	no	STAND BY YOUR BRAND	-	The name of this Swedish car company means "I roll" in Latin	Volvo	2003-09-08	-
1	600	no	STAND BY YOUR BRAND	-	\"The most famous person who never existed", she was invented by admen to represent the average housewife	Betty Crocker	2003-09-08	-
1	800	no	STAND BY YOUR BRAND	-	Roy Allen & Frank Wright formed this soft drink company in 1922	A&W	2003-09-08	-
1	200	no	19th CENTURY LITERATURE	-	It may ring a bell that he had "a huge head sprouting red hair; between the two shoulders an enormous hump\"	the Hunchback (of Notre Dame)	2003-09-08	-
1	400	no	19th CENTURY LITERATURE	-	The title wrongdoing in this novel is the murder of a pawnbroker & her sister by Raskolnikov	Crime and Punishment	2003-09-08	-
1	600	no	19th CENTURY LITERATURE	-	The year before her death, 29-year-old Emily Bronte published this, her only novel	Wuthering Heights	2003-09-08	-
1	800	yes	19th CENTURY LITERATURE	-	\"Knitting", "Still Knitting" & "The Knitting Done" are chapters in this 1859 novel	A Tale of Two Cities	2003-09-08	-
1	1000	no	19th CENTURY LITERATURE	-	Published in 1849, "Redburn: His FIrst Voyage" was based on this author's first voyage as a cabin boy	Herman Melville	2003-09-08	-
1	200	no	MODERN-DAY QUOTES	-	In a recent interview with Martin Bashir he claimed, "I've had no plastic surgery on my face, just my nose\"	Michael Jackson	2003-09-08	-
1	400	no	MODERN-DAY QUOTES	-	On giving up her Miss America title in 1984, she said, "The past just came up and kicked me\"	Vanessa Williams	2003-09-08	-
1	600	no	MODERN-DAY QUOTES	-	In 1989 Leona Helmsley infamously said, "Only the little people" do this	pay taxes	2003-09-08	-
1	800	no	MODERN-DAY QUOTES	-	Describing life after the 1996 election, he said, "Elizabeth's back at the Red Cross and I'm walking the dog\"	Bob Dole	2003-09-08	-
1	1000	no	MODERN-DAY QUOTES	-	Kenneth Lay of this co. admitted, "In hindsight, we made some very bad investments in noncore businesses…\"	Enron	2003-09-08	-
1	200	no	\"Q" ME	-	In 1901 the American Cereal Company changed its name to this	Quaker (Oats)	2003-09-08	-
1	400	no	\"Q" ME	-	It's a 4-letter term for a clever or sarcastic remark	a quip	2003-09-08	-
1	600	no	\"Q" ME	-	Term for a magazine that comes out 4 times a year	quarterly	2003-09-08	-
1	800	no	\"Q" ME	-	With 160 inches of rain a year in some places, it's Australia's wettest state	Queensland	2003-09-08	-
1	1000	no	\"Q" ME	-	Before oil was discovered there, this country's main income came from pearl diving, fishing & camel breeding	Qatar	2003-09-08	-
2	400	no	BALLET	-	In 1661 Louis XIV established a ballet academy in a room of this current art museum	the Louvre	2003-09-08	-
2	1000	yes	BALLET	-	Agnes de Mille's ballet "Fall River Legend" was based on the case of this accused murderess	Lizzie Borden	2003-09-08	-
