round	value	daily_double	category	comments	answer	question	air_date	notes
1	100	no	MAMMALS	-	Some of the finest wool in the world comes from the rambouillet, a breed of this	sheep	1993-09-06	-
1	200	no	MAMMALS	-	Once widely used to pull funeral cars, Friesian horses are always this color	black	1993-09-06	-
1	300	no	MAMMALS	-	This lab animal is a member of the cavy family; its scientific name is Cavia porcellus	a guinea pig	1993-09-06	-
1	400	no	MAMMALS	-	Some of these primates, such as macaques, can swim	monkeys	1993-09-06	-
1	500	no	MAMMALS	-	Of the 4 members of the camel family found in South America, only these 2 are domesticated	a llama and the alpaca	1993-09-06	-
1	100	no	THE MOVIES	-	Its last line is "After all, tomorrow is another day\"	Gone with the Wind	1993-09-06	-
1	200	no	THE MOVIES	-	This 1946 Jimmy Stewart-Donna Reed film was based on the short story "The Greatest Gift\"	It's A Wonderful Life	1993-09-06	-
1	300	no	THE MOVIES	-	In this 1963 P.O.W. film, Steve McQueen was the "Cooler King" & James Garner the "Scrounger\"	The Great Escape	1993-09-06	-
1	400	no	THE MOVIES	-	Spencer Tracy died in 1967, a few weeks after completing this film, his 9th with Katharine Hepburn	Guess Who's Coming to Dinner\"	1993-09-06	-
1	500	no	THE MOVIES	-	Gary Cooper got an Oscar nomination for his role as Lou Gehrig in this 1942 film	Pride of the Yankees	1993-09-06	-
1	100	no	U.S.A.	-	The Vermeil room of this Washington, D.C. residence is noted for its golden plates & vases	the White House	1993-09-06	-
1	200	no	U.S.A.	-	Once a month bargain hunters head for the Rose Bowl Flea Market & Swap Meet in this Calif. city	Pasadena	1993-09-06	-
1	300	no	U.S.A.	-	The Cafe du Monde in this Louisiana city has been serving cafe au lait & beignets since 1862	New Orleans	1993-09-06	-
1	400	no	U.S.A.	-	Big Sky is a popular resort community in this state known as "Big Sky Country\"	Montana	1993-09-06	-
1	500	no	U.S.A.	-	This state's Odessa College hosts an annual Shakespeare festival in a replica of the Globe Theatre	Texas	1993-09-06	-
1	100	no	THE 1990s	-	In 1991 this phenomenon of nature killed fans at the U.S. Open & PGA Championships	lightning	1993-09-06	-
1	200	no	THE 1990s	-	He won his first full term as mayor of Chicago April 2, 1991	(Richard) Daley	1993-09-06	-
1	300	no	THE 1990s	-	Connecticut Gov. Lowell Weicker won the 1992 "Profile in Courage" award named for this President	John F. Kennedy	1993-09-06	-
1	400	no	THE 1990s	-	On May 24, 1990 Emperor Akihito expressed regret over Japan's 1910-1945 occupation of this peninsular country	Korea	1993-09-06	-
1	500	no	THE 1990s	-	In 1992 a Vatican court annulled her first marriage, to French playboy Philippe Junot	Caroline of Monaco	1993-09-06	-
1	100	no	AROUND THE HOUSE	-	Types of these are area, scatter & throw	rugs	1993-09-06	-
1	200	no	AROUND THE HOUSE	-	It's what a bathroom usually has that a half bath doesn't	a bathtub	1993-09-06	-
1	300	no	AROUND THE HOUSE	-	Square, flat & with legs that fold, it's brought out on poker nights & to handle holiday overflows	card table	1993-09-06	-
1	400	no	AROUND THE HOUSE	-	A candlestick fixture on a wall, ore a similar electric one	a sconce	1993-09-06	-
1	1000	yes	AROUND THE HOUSE	-	A tambour, made of rounded wood strips glued to canvas, is found on this type of desk	roll top desk	1993-09-06	-
1	100	no	FRENCH	-	If you're jewelry shopping, you may want to know that this precious metal is platine	platinum	1993-09-06	-
1	200	no	FRENCH	-	The French call this country L'Afrique du Sud	South Africa	1993-09-06	-
1	300	no	FRENCH	-	If you want to know this, say "Quelle heure est-il?\"	What time is it?	1993-09-06	-
1	400	no	FRENCH	-	To find this on a train, ask, "Ou est le wagon-restaurant?\"	the dining car	1993-09-06	-
1	500	no	FRENCH	-	\"S'il vout plait, cesser de fumer" means would you please stop doing this	smoking	1993-09-06	-
2	200	no	WORLD CAPITALS	-	This Finnish city is the most northerly capital in continental Europe	Helsinki	1993-09-06	-
2	400	no	WORLD CAPITALS	-	Its sheltered harbor lies less than 100 miles south of Key West, Florida	Havana	1993-09-06	-
2	600	no	WORLD CAPITALS	-	Once the capital of the British East Africa protectorate, it's been Kenya's capital since 1963	Nairobi	1993-09-06	-
2	800	no	WORLD CAPITALS	-	Afghanistan's parliament is housed in the Dar Ol-Aman Palace in this city	Kabul	1993-09-06	-
2	1000	no	WORLD CAPITALS	-	This capital & largest city of Antigua & Barbuda shares its name with Newfoundland's capital	St. John's	1993-09-06	-
2	200	no	FISH DISHES	-	This traditional dish of England is simply deep-fried fillets & fries	fish & chips	1993-09-06	-
2	400	no	FISH DISHES	-	The Japanese typically begin a meal with this dish of sliced raw fish served with ginger or horseradish	sashimi	1993-09-06	-
2	600	no	FISH DISHES	-	In addition to anchovies, a salade nicoise contains this fish	tuna	1993-09-06	-
2	800	no	FISH DISHES	-	Conger eel, whiting & red mullet are traditional ingredients in this French stew	bouillabaisse	1993-09-06	-
2	1000	no	FISH DISHES	-	A Spanish appetizer, croquetitas de camarones are fried croquettes of this shellfish	shrimp	1993-09-06	-
2	200	no	GEOLOGY	-	It's the part of a river where you'd find the delta	the mouth	1993-09-06	-
2	400	no	GEOLOGY	-	Glaciers don't have a cow, but they do have one of these when a chunk breaks off	a calf	1993-09-06	-
2	600	no	GEOLOGY	-	Mafic magma is thought to originate in this solid layer beneath the earth's crust	the mantle	1993-09-06	-
2	800	no	GEOLOGY	-	It's the term for the crater formed by a volcano that has exploded & collapsed	a caldera	1993-09-06	-
2	1000	no	GEOLOGY	-	This region of Northwest Italy has lent its name to any large expanse of land at the foot of a mountain	Piedmont	1993-09-06	-
2	200	no	MUSICAL INSTRUMENTS	-	Versions of this instrument have been made with valves instead of a slide	trombone	1993-09-06	-
2	400	no	MUSICAL INSTRUMENTS	-	The contra type of this instrument is the lowest-pitched member of the woodwind family	bassoon	1993-09-06	-
2	600	no	MUSICAL INSTRUMENTS	-	In a 1961 record Johnny Cash called this stringed instrument a "Tennessee flat-top box\"	guitar	1993-09-06	-
2	800	no	MUSICAL INSTRUMENTS	-	Powered by steam & used on riverboats, this keyboard instrument's sound can carry over 10 miles	calliope	1993-09-06	-
2	1000	no	MUSICAL INSTRUMENTS	-	Sebastien Erard perfected a pedal device in the 19th century to raise the pitch of its strings by 1 or 2 half-steps	the harp	1993-09-06	-
2	200	no	HAIL TO THE CHIEF	-	In 1959 his New York City tomb became a National Memorial	Ulysses S. Grant	1993-09-06	-
2	400	no	HAIL TO THE CHIEF	-	Referring to his daughter, he once quipped that he could be President or control Alice, but not both	Theodore Roosevelt	1993-09-06	-
2	600	no	HAIL TO THE CHIEF	-	Some blamed his death on a Shawnee curse that was put on him at the Battle of Tippecanoe	William Henry Harrison	1993-09-06	-
2	800	no	HAIL TO THE CHIEF	-	While playing football for West Point, he injured his knee tackling Jim Thorpe	Eisenhower	1993-09-06	-
2	2000	yes	HAIL TO THE CHIEF	-	Within a 3 1/2 year period, he became Mayor of Buffalo, Governor of N.Y. & President of the U.S.	Grover Cleveland	1993-09-06	-
2	200	no	BOOKS & AUTHORS	-	Ford Madox Ford wrote 3 novels about Catherine Howard, this king's fifth wife	Henry VIII	1993-09-06	-
2	400	no	BOOKS & AUTHORS	-	This author of "Space" once served on NASA's Advisory Council	Michener	1993-09-06	-
2	600	no	BOOKS & AUTHORS	-	He described his sensational 1931 novel "Sanctuary" as "The most horrific tale I could imagine\"	Faulkner	1993-09-06	-
2	800	no	BOOKS & AUTHORS	-	This 1887 novel by onetime ostrich farmer Rider Haggard is known by a single pronoun	She	1993-09-06	-
2	1500	yes	BOOKS & AUTHORS	-	This James Joyce work was called "the first attempt to articulate the wordless world of sleep\"	Finnegan's Wake	1993-09-06	-
3	0	no	AMERICAN HISTORY	-	In 1919 he became the first General of the Armies of the U.S.	John Pershing	1993-09-06	-
1	100	no	JULY 1993	-	This river flooded homes & businesses in Iowa, Wisconsin, Illinois & Missouri	Mississippi	1993-09-22	-
1	200	no	JULY 1993	-	Rev. Jesse Jackson was among over 20 arrested during a protest to make this district a state	District of Columbia	1993-09-22	-
1	300	no	JULY 1993	-	This country announced plans for its first all-race general election to be held on April 27, 1994	South Africa	1993-09-22	-
1	400	no	JULY 1993	-	Robert Rota, who operated this for the House of Representatives, pleaded guilty to embezzlement	Post Office	1993-09-22	-
1	500	no	JULY 1993	-	He was fired as director of the F.B.I.	(William) Sessions	1993-09-22	-
1	100	no	FAMOUS WOMEN	-	She was Miss Orange County in 1978, long before she "clawed" her way to the top in "Batman Returns\"	Michelle Pfeiffer	1993-09-22	-
1	200	no	FAMOUS WOMEN	-	Mark Hamill calls this novelist & "Star Wars" co-star "The Wicked Wit of the West\"	Carrie Fisher	1993-09-22	-
1	300	no	FAMOUS WOMEN	-	This young country singer's friends call her "Wy" for short -wy  not?	Wynonna Judd	1993-09-22	-
1	400	no	FAMOUS WOMEN	-	American-born Lisa Halaby met this king while working for Royal Jordanian Airlines; they married in 1978	King Hussein	1993-09-22	-
1	500	no	FAMOUS WOMEN	-	Great Russian ballerina who choreographed the 1918 ballet "Autumn Leaves"; she played a chrysanthemum	Anna Pavlova	1993-09-22	-
1	100	no	U.S.A.	-	Though Colorado's called a mountain state, less than half of it is in this mountain range	Rockies	1993-09-22	-
1	200	no	U.S.A.	-	Palisades Interstate Park is in N.Y. & this state	New Jersey	1993-09-22	-
1	300	no	U.S.A.	-	All of these in Maryland are artificially created & Deep Creek is the largest	lakes	1993-09-22	-
1	400	no	U.S.A.	-	In the 1850s this "New" Massachusetts city was the whaling capital of the world	New Bedford	1993-09-22	-
1	500	yes	U.S.A.	-	U.S. Highway 26, offers close-up views of this mountain, Oregon's highest point	Mount Hood	1993-09-22	-
1	100	no	INVENTIONS	-	For this "bright idea" Thomas Edison was elected to the Inventors Hall of Fame	light bulb	1993-09-22	-
1	200	no	INVENTIONS	-	Walter Hunt's invention of this in 1849 made diaper fastening a cinch	safety pin	1993-09-22	-
1	300	no	INVENTIONS	-	Cooking hasn't been the same since the development of this by Percy Spencer & Raytheon in 1947	microwave oven	1993-09-22	-
1	400	no	INVENTIONS	-	In 1879 James Ritty invented this machine to record sales; the money drawer came later	cash register	1993-09-22	-
1	500	no	INVENTIONS	-	While studying earthquakes in Japan, John Milne invented this instrument for recording them	seismograph	1993-09-22	-
1	100	no	RESTAURANTS	-	The Saddle Peak Lodge in Calabasas, Calif. still serves this bird the classic way, "under glass\"	pheasant	1993-09-22	-
1	200	no	RESTAURANTS	-	In 1993 this TV comedienne & her husband Tom opened their Big Food Diner near their farm in Eldon, Iowa	Roseanne Arnold	1993-09-22	-
1	300	no	RESTAURANTS	-	Established in 1760, the Half Way House is halfway between Richmond & Petersburg in this state	Virginia	1993-09-22	-
1	400	no	RESTAURANTS	-	Move over, Baskin-Robbins; NYC's Russian Tea Room serves 31 varieties of this potent potable	vodka	1993-09-22	-
1	500	no	RESTAURANTS	-	Oprah Winfrey co-owns The Eccentric in this city, & Oprah's potatoes are featured on the menu	Chicago	1993-09-22	-
1	100	no	3-LETTER WORDS	-	It follows Q-or precedes "of the iceberg\"	tip	1993-09-22	-
1	200	no	3-LETTER WORDS	-	A long, fixed bench with a back that holds church ladies, men & kids	pew	1993-09-22	-
1	300	no	3-LETTER WORDS	-	This animal's name is also slang for a jazz musician	cat	1993-09-22	-
1	400	no	3-LETTER WORDS	-	When Rip van Winkle woke up, his dog was gone & oh, shoot, this was rusted	gun	1993-09-22	-
1	500	no	3-LETTER WORDS	-	Kipling wrote, "Till the devil whispered behind the leaves, 'it's pretty, but is it'" this	art	1993-09-22	-
2	200	no	PSYCHOLOGY	-	A person suffering from hypersomnia does this more than most people	sleep	1993-09-22	-
2	400	no	PSYCHOLOGY	-	Stress management programs try to help personality types identified by this letter	A	1993-09-22	-
2	600	no	PSYCHOLOGY	-	From the Greek "sanctuary", it's an institution for the care of the mentally ill	asylum	1993-09-22	-
2	800	no	PSYCHOLOGY	-	It's the "principle" by which the id operates	pleasure	1993-09-22	-
2	1000	no	PSYCHOLOGY	-	This Swiss psychoanalyst gave us the term collective unconscious...or maybe we had it all along	(Carl Gustav) Jung	1993-09-22	-
