round	value	daily_double	category	comments	answer	question	air_date	notes
1	200	no	THE 20th CENTURY	-	In the 1920s this Fascist leader of Italy set up a puppet regime in Albania & reconquered Libya	Mussolini	2007-09-10	-
1	400	no	THE 20th CENTURY	-	Elizabeth II succeeded her father, this man who died unexpectedly at age 56	George VI	2007-09-10	-
1	600	no	THE 20th CENTURY	-	On Feb. 8, 1904 Japanese ships attacked this country's fleet at Lushun, Manchuria, beginning a war	Russia	2007-09-10	-
1	800	no	THE 20th CENTURY	-	On Feb. 15, 1965, Canada's new flag, which prominently featured an 11-pointed one of these, flew for the first time	the maple leaf	2007-09-10	-
1	1000	no	THE 20th CENTURY	-	On Valentine's Day 1989 the Ayatollah Khomeini showed no love for this author's "Satanic Verses", giving him a death sentence	Salman Rushdie	2007-09-10	-
1	200	no	THE TALES OF DUSTIN HOFFMAN	-	Both Hoffman & Streep won Oscars as the title duo in this film	Kramer vs. Kramer	2007-09-10	-
1	400	no	THE TALES OF DUSTIN HOFFMAN	-	Dustin says, "I was a better man with you, as a woman... than I ever was with a woman, as a man" in this 1982 film	Tootsie	2007-09-10	-
1	600	no	THE TALES OF DUSTIN HOFFMAN	-	Dustin spent more than a weekend as Bernie in this 2004 Stiller & De Niro sequel	Meet the Fockers	2007-09-10	-
1	800	no	THE TALES OF DUSTIN HOFFMAN	-	\"Frankly, you're beginning to smell and for a stud in New York, that's a handicap", says Dustin in this 1969 film	Midnight Cowboy	2007-09-10	-
1	1000	no	THE TALES OF DUSTIN HOFFMAN	-	Laurence Olivier sets dentistry back about 1,000 years as he works on Dustin in this film; that's not safe at all	Marathon Man	2007-09-10	-
1	200	no	ALSO A SOAP BRAND	-	Tusk material	Ivory	2007-09-10	-
1	400	no	ALSO A SOAP BRAND	-	Rotary phone part	Dial	2007-09-10	-
1	600	no	ALSO A SOAP BRAND	-	Molten rock	Lava	2007-09-10	-
1	800	no	ALSO A SOAP BRAND	-	Peace advocate	Dove	2007-09-10	-
1	1000	no	ALSO A SOAP BRAND	-	April in Tipperary	Irish Spring	2007-09-10	-
1	200	no	IN THE BOOKSTORE	-	\"The Teammates" by David Halberstam chronicles the friendships of Ted Williams & others on this team	Boston Red Sox	2007-09-10	-
1	400	no	IN THE BOOKSTORE	-	John Grisham switched gears with "Skipping" this holiday, about a couple who want to skip the consumerism	Christmas	2007-09-10	-
1	600	no	IN THE BOOKSTORE	-	\"The Devil in the White City" examines "Murder, Magic & Madness" at the 1893 World's Fair in this U.S. city	Chicago	2007-09-10	-
1	800	no	IN THE BOOKSTORE	-	In a Stephen King book, writer Paul Sheldon is weary of this title heroine he created	Misery	2007-09-10	-
1	2000	yes	IN THE BOOKSTORE	-	Appropriately, Part 3 of this 1953 novel is "Burning Bright\"	Fahrenheit 451	2007-09-10	-
1	200	no	SCOTT FREE	-	In 1850 a St. Louis jury said that this man's prior residence in Wisconsin & Illinois had made him a free man	Dred Scott	2007-09-10	-
1	400	no	SCOTT FREE	-	In 1814, while this lawyer & poet was helping to free his friend William Beanes, he saw the bombing of Fort McHenry	Francis Scott Key	2007-09-10	-
1	600	no	SCOTT FREE	-	A skier in his free time, this Mercury 7 astronaut landed his Aurora 7 capsule 250 miles off course in 1962	Scott Carpenter	2007-09-10	-
1	800	no	SCOTT FREE	-	Captured & freed in the War of 1812, he was later an 1852 presidential candidate & a Union general	Winfield Scott	2007-09-10	-
1	1000	no	SCOTT FREE	-	This White House Press Secretary freed up his schedule in 2006 & was replaced by Tony Snow	Scott McClellan	2007-09-10	-
1	200	no	\"P"LEASE	-	From the Latin for "having a sharp point", it's an adjective meaning keeping to an arranged time	punctual	2007-09-10	-
1	400	no	\"P"LEASE	-	Consent, especially formal authorization	permission	2007-09-10	-
1	800	no	\"P"LEASE	-	A large fire built for a funeral cremation	a pyre	2007-09-10	-
1	1000	no	\"P"LEASE	-	In mathematics, it's a flat surface of infinite extent; in carpentry, it's a tool used on surfaces	a plane	2007-09-10	-
2	400	no	FLOWERS	-	This country isn't out of "kilt"er with the thistle as its national flower	Scotland	2007-09-10	-
2	800	no	FLOWERS	-	One March 22, 1994 the Dutch Ambassador to the U.S. gave her a new tulip named for her	Hillary Clinton	2007-09-10	-
2	1200	no	FLOWERS	-	Singularly speaking, the bright blue cornflower is known as this "button\"	a bachelor button	2007-09-10	-
2	1000	yes	FLOWERS	-	Bloom forms of this large hardy perennial include spoon, quill & pompon	chrysanthemum	2007-09-10	-
2	400	no	CABLE CHANNELS	-	The "T" in TCM, which shows classic movies, stands for this last name	Turner	2007-09-10	-
2	800	no	CABLE CHANNELS	-	This film & arts network has hit the jackpot with reality shows like "Real Housewives of Orange County" & "Project Runway\"	Bravo	2007-09-10	-
