round	value	daily_double	category	comments	answer	question	air_date	notes
1	200	no	WHO'S BIBLICALLY SPEAKING?	-	\"I indeed baptize you with water; but one mightier than I cometh\"	John the Baptist	2011-09-19	-
1	400	no	WHO'S BIBLICALLY SPEAKING?	-	\"Ye shall not surely die... ye shall be as gods, knowing good and evil\"	the serpent	2011-09-19	-
1	600	no	WHO'S BIBLICALLY SPEAKING?	-	\"Art thou the king of the Jews?\"	Pilate	2011-09-19	-
1	800	no	WHO'S BIBLICALLY SPEAKING?	-	\"Ye shall return unto the land of your possession, and enjoy it, which Moses... gave you on this side Jordan\"	Joshua	2011-09-19	-
1	1000	no	WHO'S BIBLICALLY SPEAKING?	-	\"Hail, thou that art highly favoured, the Lord is with thee: blessed art thou among women\"	Gabriel	2011-09-19	-
1	200	no	NOBEL PRIZE CATEGORIES BY WINNER	-	Yitzhak Rabin, 1994	Peace	2011-09-19	-
1	400	no	NOBEL PRIZE CATEGORIES BY WINNER	-	Sir Alexander Fleming, 1945	Medicine	2011-09-19	-
1	600	no	NOBEL PRIZE CATEGORIES BY WINNER	-	Milton Friedman, 1976	Economics	2011-09-19	-
1	800	no	NOBEL PRIZE CATEGORIES BY WINNER	-	Richard Feynman, 1965	Physics	2011-09-19	-
1	1000	no	NOBEL PRIZE CATEGORIES BY WINNER	-	Dario Fo, 1997	Literature	2011-09-19	-
1	200	no	AMERICANS IN PARIS	-	Setting sail for the Paris Peace Conference in December 1918, he became the first sitting president to cross the Atlantic	Woodrow Wilson	2011-09-19	-
1	400	no	AMERICANS IN PARIS	-	In 1855, when he was 21, he moved to Paris to study art; that painting of his mother would come later	Whistler	2011-09-19	-
1	600	no	AMERICANS IN PARIS	-	Familiar with France from experimenting there, in 1779 he became our first ambassador to France	Benjamin Franklin	2011-09-19	-
1	800	no	AMERICANS IN PARIS	-	He was studying at the Sorbonne in Paris when he published "The Naked and the Dead\"	Norman Mailer	2011-09-19	-
1	1000	no	AMERICANS IN PARIS	-	Sadly, this dancer's 2 children drowned in the Seine years before that scarf cut her own life short	Isadora Duncan	2011-09-19	-
1	200	no	28 IS GREAT	(Alex: In honor of our 28th season...)	In September 1984 "Jeopardy!" began its run & P.W. Botha began a more modest 6 years as pres. of this country	South Africa	2011-09-19	-
1	400	no	28 IS GREAT	(Alex: In honor of our 28th season...)	This literary character spent 28 years marooned on a desert island	Robinson Crusoe	2011-09-19	-
1	600	no	28 IS GREAT	(Alex: In honor of our 28th season...)	The Z28 Camaro is a classic muscle car from this automaker	Chevrolet	2011-09-19	-
1	1000	no	28 IS GREAT	(Alex: In honor of our 28th season...)	This great king succeeded his brother Ethelred in 871 & reigned in Wessex for 28 years	Alfred the Great	2011-09-19	-
1	200	no	FROM "B" TO "Y\"	-	Chapter 7 of this federal code provides for liquidation	bankruptcy	2011-09-19	-
1	400	no	FROM "B" TO "Y\"	-	In a theater, the mezzanine is the lowest one	a balcony	2011-09-19	-
1	600	no	FROM "B" TO "Y\"	-	All hail the grain of this plant, used in making beer	barley	2011-09-19	-
1	800	no	FROM "B" TO "Y\"	-	The temperature is so mild & pleasant, it's downright this 5-letter adjective	balmy	2011-09-19	-
