round	value	daily_double	category	comments	answer	question	air_date	notes
1	200	no	DOUBLE TALK	-	Cheerleaders know it traditionally precedes "sis, boom, bah!\"	Rah rah	2014-09-15	-
1	400	no	DOUBLE TALK	-	In 1983 there was no harmony at this New York prison when inmates rioted over poor conditions	Sing Sing	2014-09-15	-
1	600	no	DOUBLE TALK	-	In an '80s hit it precedes "Keep it down now, voices carry\"	Hush, Hush	2014-09-15	-
1	800	no	DOUBLE TALK	-	At foodnetwork.com recipes for this fish include Macadamia Nut Crusted & Grilled Tacos	mahimahi	2014-09-15	-
1	1000	no	DOUBLE TALK	-	German health plans cover visits to a spa, including this one at the foothills of the Black Forest	Baden-Baden	2014-09-15	-
1	200	no	STATES THAT FLOW TOGETHER	(Alex: Each correct response will be two states.  The last letter of one state will be the first letter of the adjoining state.)	One has St. Louis, the other has East St. Louis	Missouri & Illinois	2014-09-15	-
1	400	no	STATES THAT FLOW TOGETHER	(Alex: Each correct response will be two states.  The last letter of one state will be the first letter of the adjoining state.)	Hoover Dam is on their border	Nevada & Arizona	2014-09-15	-
1	600	no	STATES THAT FLOW TOGETHER	(Alex: Each correct response will be two states.  The last letter of one state will be the first letter of the adjoining state.)	The state where Martin Luther King was born & the state where he married Coretta Scott	Alabama & Georgia	2014-09-15	-
1	2000	yes	STATES THAT FLOW TOGETHER	(Alex: Each correct response will be two states.  The last letter of one state will be the first letter of the adjoining state.)	This big land buy named for one also got us the other	Louisiana & Arkansas	2014-09-15	-
1	1000	no	STATES THAT FLOW TOGETHER	(Alex: Each correct response will be two states.  The last letter of one state will be the first letter of the adjoining state.)	One has Rocky Mountain National Park, one has Cherokee National Park	Colorado & Oklahoma	2014-09-15	-
1	200	no	2 KINDS OF "ESQUE\"	-	A variety of bawdy stage show, or reminding one of Mr. Ives	burlesque	2014-09-15	-
1	400	no	2 KINDS OF "ESQUE\"	-	Pertaining to an Italian Renaissance painter, or in a very different mood, to TV's Sally Jessy	Raphaelesque	2014-09-15	-
1	600	no	2 KINDS OF "ESQUE\"	-	\"Goddess" term meaning stately, or something a lot like that Ellen Page film	Junoesque	2014-09-15	-
1	800	no	2 KINDS OF "ESQUE\"	-	Solid term suggesting massive, majestic beauty, or referring to Christ the Redemer	statuesque	2014-09-15	-
1	1000	no	2 KINDS OF "ESQUE\"	-	It refers specifically to an author who died in 1924, or broadly to senseless, menacing complexity	Kafkaesque	2014-09-15	-
1	200	no	CLOWNS	-	DC Comic dubbed this character "The Clown Prince of Crime\"	the Joker	2014-09-15	-
1	400	no	CLOWNS	-	Cam becomes Fizbo, "the (butt)-kicking clown that'll twist you like a balloon animal", on this ABC sitcom	Modern Family	2014-09-15	-
1	600	no	CLOWNS	-	On "In Living Color" this Damon Wayans clown "don't play that\"	Homey	2014-09-15	-
1	800	no	CLOWNS	-	This song begins, "Isn't it rich? Are we a pair? Me here at last on the ground, you in mid-air\"	\"Send In The Clowns\"	2014-09-15	-
1	1000	no	CLOWNS	-	In 1988 John Vernon, the dean in "Animal House", found more than 0.0 "Killer Klowns from" here	Outer Space	2014-09-15	-
1	200	no	THOSE ARE SOME BIG SHOES	-	In 1990 John Major was no longer minor as he succeeded this towering British prime minister	Margaret Thatcher	2014-09-15	-
